r_R,alpha,phi,a,aline,Ct,Cx,Cy,Cq,Cp
0.25375000000000003,-4.186403333295388,71.49890333329539,0.010091942932586159,0.15202613968454012,0.007933319524214338,0.011276753464553122,0.06771010630533361,0.0660278908108636,1.5810692006806279e-06
0.26125,-3.8030135543052097,70.74051355430521,0.013821294472280544,0.13680308350290987,0.0186297485008598,0.026893115013650822,0.10923566369473979,0.0660278908108636,3.822549979675648e-06
0.26875000000000004,-3.5341016839298476,70.09660168392985,0.015313906799600664,0.12920691977075138,0.026309850569881554,0.03875121750350864,0.13802363965021724,0.0660278908108636,5.553371610152442e-06
0.27625,-3.306257727640755,69.49375772764076,0.01640291216653421,0.12395658308018506,0.03289893946467705,0.04945410793055205,0.16217099184778497,0.0660278908108636,7.13795928244393e-06
0.28375,-3.1005306536697645,68.91303065366978,0.017346728098420368,0.11984790962748443,0.03891065402957886,0.059671955718867,0.18375489265822997,0.0660278908108636,8.671501074991722e-06
0.29125,-2.9091606147324427,68.34666061473244,0.018218373270330424,0.11640874206065503,0.04455044063097413,0.06965961219289367,0.2036305168723887,0.0660278908108636,1.0190789225345747e-05
0.29874999999999996,-2.7282806808907054,67.7907806808907,0.01904788707869597,0.113405411715002,0.04992313313132373,0.07953836761477714,0.2222242434951949,0.0660278908108636,1.1713849200375918e-05
0.30625,-2.555735871663188,67.24323587166319,0.01985126310642436,0.1107056727625514,0.055092158523711694,0.08937590119968203,0.23977181918119786,0.0660278908108636,1.3251217037400561e-05
0.31375,-2.390020196754179,66.70252019675418,0.020632768542011907,0.10822364220815665,0.060083451397199825,0.09918696415018685,0.2564028503994052,0.0660278908108636,1.4805684408578879e-05
0.32125000000000004,-2.2304467287552683,66.16794672875527,0.021398599345679364,0.1059119937594761,0.0649239608011491,0.10899140056859546,0.2722168743410404,0.0660278908108636,1.638091001305449e-05
0.32875,-2.0765845287506295,65.63908452875063,0.022152865030763073,0.10373885550916259,0.06963269268387673,0.11879925131150054,0.2872836388185588,0.0660278908108636,1.7979136616107873e-05
0.33625,-1.9280651263185007,65.11556512631851,0.02289640170245978,0.10167982825151733,0.07421689467640585,0.12860323402541476,0.30164881820444583,0.0660278908108636,1.959994954455495e-05
0.34375,-1.78463234871667,64.59713234871667,0.02363026988433605,0.09971653523309161,0.07868317280692638,0.13839616753679818,0.31534441661220675,0.0660278908108636,2.1242931673165297e-05
0.35125,-1.646103860554021,64.08360386055402,0.024355810596020516,0.09783454869376254,0.08303843319513426,0.14817249524815665,0.32839267575980985,0.0660278908108636,2.2907904314154473e-05
0.35875,-1.5123448734571028,63.5748448734571,0.025073327482208158,0.09602318988428607,0.08728566051149729,0.15792102360119317,0.34081279674802234,0.0660278908108636,2.4593746587577937e-05
0.36624999999999996,-1.3830632507226994,63.07056325072271,0.025780110806592448,0.09426904335525779,0.09141661537329633,0.16761119808171876,0.35260207279733236,0.0660278908108636,2.6296179315914975e-05
0.37375,-1.258364499911714,62.570864499911714,0.02647886880719562,0.09257025741889653,0.09544212707315244,0.17724697372407527,0.3637910001317687,0.0660278908108636,2.8016326653607464e-05
0.38125,-1.138203739375598,62.07570373937559,0.027169775363948618,0.09092165000366827,0.0993641628844739,0.18681751532965374,0.37439374279796184,0.0660278908108636,2.975291433285275e-05
0.38875,-1.0225263280093415,61.58502632800934,0.027852626050631393,0.08931841813179936,0.10318327155294145,0.1963100530420675,0.38442152216754094,0.0660278908108636,3.150428132873396e-05
0.39625,-0.9111508581197327,61.09865085811973,0.02852552115761339,0.08775288020940686,0.10689348324155011,0.20569998525628935,0.3938684598876295,0.0660278908108636,3.326675087151402e-05
0.40375,-0.8041465762703837,60.616646576270384,0.029189459178595355,0.08622465275180095,0.11049978782170967,0.21498384669531997,0.4027575101314058,0.0660278908108636,3.503998090343232e-05
0.41125,-0.7015087076370392,60.139008707637046,0.029844504063989363,0.08473158735379341,0.114003768542476,0.22415250253249425,0.41110272536886283,0.0660278908108636,3.6822646615837975e-05
0.41874999999999996,-0.6032003455280659,59.665700345528066,0.03049027511059238,0.08327097675811569,0.11740532936431616,0.23319417082946078,0.4189138345971108,0.0660278908108636,3.861290821086899e-05
0.42625,-0.5091863158945955,59.196686315894596,0.031126370116883503,0.0818404385030655,0.12070429579703675,0.24209742345815863,0.42620045292513065,0.0660278908108636,4.040889736439091e-05
0.43374999999999997,-0.4193749900307111,58.73187499003072,0.03175109674496546,0.08043691620011803,0.12389531789420091,0.2508411652351058,0.43296705869711644,0.0660278908108636,4.220697853661754e-05
0.44125000000000003,-0.33378883871162657,58.27128883871162,0.032365240036675055,0.07905950098942738,0.1269829157236652,0.259423977609767,0.4392279271515674,0.0660278908108636,4.400681065456695e-05
0.44875,-0.2524017670329073,57.81490176703291,0.03296850553435029,0.07770663361774001,0.12996733772272676,0.26783672188697216,0.444993117043235,0.0660278908108636,4.580665362165215e-05
0.45625,-0.17518151104059854,57.3626815110406,0.03356045037246128,0.07637682576318965,0.13284821159272964,0.2760695083835922,0.45027208267130814,0.0660278908108636,4.7604550761726373e-05
0.46375,-0.10209620132245334,56.91459620132245,0.03414063303324614,0.07506875129618179,0.13562513202590362,0.2841128281935142,0.4550742534284662,0.0660278908108636,4.939852460370746e-05
0.47125,-0.0331143040136368,56.47061430401364,0.034708616305687355,0.07378122848834473,0.13829766385124315,0.2919575475710202,0.459409031689661,0.0660278908108636,5.11865770737226e-05
0.47875,0.03183735423171896,56.03066264576828,0.03526337344016332,0.07251227397173378,0.14086288965923577,0.2995897295352659,0.4632796814309791,0.0660278908108636,5.29657664994897e-05
0.48624999999999996,0.09278495207870918,55.59471504792129,0.035804527634666204,0.0712610990264206,0.14332048526460386,0.30700120375156353,0.46669606296010346,0.0660278908108636,5.473407282084481e-05
0.49375,0.1497153548058492,55.16278464519415,0.036332287292763506,0.07002784961881685,0.14567248478242903,0.31418925666027797,0.4696738354483232,0.0660278908108636,5.6490382865295894e-05
0.50125,0.20265926261615874,54.73484073738384,0.03684625505671669,0.06881177167765123,0.14791836104150907,0.32114620677094996,0.4722222486987501,0.0660278908108636,5.823262305874946e-05
0.50875,0.2516470949036318,54.31085290509637,0.037346048244077605,0.06761219655660292,0.15005756738874054,0.3278647067041158,0.47435049690822456,0.0660278908108636,5.995869962152378e-05
0.51625,0.2967089998629291,53.89079100013707,0.03783130006302231,0.06642853236986586,0.15208953981086393,0.33433773513185916,0.47606771392427527,0.0660278908108636,6.166649885484886e-05
0.5237499999999999,0.33787486597344696,53.47462513402655,0.03830166060209719,0.06526025612031651,0.15401369915810625,0.34055858901050534,0.4773829689503978,0.0660278908108636,6.335388754426101e-05
0.53125,0.37517433590092963,53.06232566409907,0.03875679760934318,0.06410690652306132,0.15582945347582688,0.3465208761562666,0.4783052627269077,0.0660278908108636,6.501871348666903e-05
0.53875,0.40863682294453696,52.65386317705547,0.03919639707592385,0.06296807744848962,0.15753620043804606,0.3522185081844219,0.4788435241777846,0.0660278908108636,6.665880614291766e-05
